直音	あ	い	う	え	お
直音	か	き	く	け	こ
直音	が	ぎ	ぐ	げ	ご
直音	さ	すぃ	す	せ	そ
直音	ざ	ずぃ	ず	ぜ	ぞ
直音	た	てぃ	とぅ	て	と
直音	だ	でぃ	どぅ	で	ど
直音	な	に	ぬ	ね	の
直音	は	ひ	ふ	へ	ほ
直音	ば	び	ぶ	べ	ぼ
直音	ぱ	ぴ	ぷ	ぺ	ぽ
直音	ま	み	む	め	も
直音	ら	り	る	れ	ろ
直音	しゃ	し	しゅ	しぇ	しょ
直音	じゃ	じ	じゅ	じぇ	じょ
直音	ちゃ	ち	ちゅ	ちぇ	ちょ
直音	ぢゃ	ぢ	ぢゅ	ぢぇ	ぢょ
直音	つぁ	つぃ	つ	つぇ	つぉ
直音	づぁ	づぃ	づ	づぇ	づぉ
直音	ふぁ	ふぃ	ふ	ふぇ	ふぉ
直音	ゔぁ	ゔぃ	ゔ	ゔぇ	ゔぉ
y拗音	や	い	ゆ	いぇ	よ
y拗音	きゃ	き	きゅ	きぇ	きょ
y拗音	ぎゃ	ぎ	ぎゅ	ぎぇ	ぎょ
y拗音	にゃ	に	にゅ	にぇ	にょ
y拗音	ひゃ	ひ	ひゅ	ひぇ	ひょ
y拗音	びゃ	び	びゅ	びぇ	びょ
y拗音	ぴゃ	ぴ	ぴゅ	ぴぇ	ぴょ
y拗音	りゃ	り	りゅ	りぇ	りょ
y拗音	すゃ	すぃ	すゅ	すぇ	すょ
y拗音	ずゃ	ずぃ	ずゅ	ずぇ	ずょ
y拗音	てゃ	てぃ	てゅ	てぇ	てょ
y拗音	でゃ	でぃ	でゅ	でぇ	でょ
y拗音	つゃ	つぃ	つゅ	つぇ	つょ
y拗音	づゃ	づぃ	づゅ	づぇ	づょ
y拗音	ふゃ	ふぃ	ふゅ	ふぇ	ふょ
y拗音	ゔゃ	ゔぃ	ゔゅ	ゔぇ	ゔょ
w拗音	わ	うぃ	う	うぇ	うぉ
w拗音	くゎ	くぃ	く	くぇ	くぉ
w拗音	ぐゎ	ぐぃ	ぐ	ぐぇ	ぐぉ
w拗音	すゎ	すぃ	す	すぇ	すぉ
w拗音	ずゎ	ずぃ	ず	ずぇ	ずぉ
w拗音	ぬゎ	ぬぃ	ぬ	ぬぇ	ぬぉ
w拗音	ふゎ	ふぃ	ふ	ふぇ	ふぉ
w拗音	ぶゎ	ぶぃ	ぶ	ぶぇ	ぶぉ
w拗音	ぷゎ	ぷぃ	ぷ	ぷぇ	ぷぉ
w拗音	るゎ	るぃ	る	るぇ	るぉ
w拗音(ぁ表記)	くぁ	くぃ	く	くぇ	くぉ
w拗音(ぁ表記)	ぐぁ	ぐぃ	ぐ	ぐぇ	ぐぉ
w拗音(ぁ表記)	すぁ	すぃ	す	すぇ	すぉ
w拗音(ぁ表記)	ずぁ	ずぃ	ず	ずぇ	ずぉ
w拗音(ぁ表記)	ぬぁ	ぬぃ	ぬ	ぬぇ	ぬぉ
w拗音(ぁ表記)	ふぁ	ふぃ	ふ	ふぇ	ふぉ
w拗音(ぁ表記)	ぶぁ	ぶぃ	ぶ	ぶぇ	ぶぉ
w拗音(ぁ表記)	ぷぁ	ぷぃ	ぷ	ぷぇ	ぷぉ
w拗音(ぁ表記)	るぁ	るぃ	る	るぇ	るぉ
他	あ	ゐ	う	ゑ	を
他	ぁ	ぃ	ぅ	ぇ	ぉ
